subcategory_name,item_title,item_page_link,preview_img_link,price,preview_local_link
СМАРТФОН,Apple iPhone 14 Pro Max 1TB,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_1tb__graphit,https://kdmarket.ru/upload/iblock/a5b/a5b90a4d70e3d74deed86be6bbbde894.png,157 490 ₽,.apple_img_preview/a5b90a4d70e3d74deed86be6bbbde894.png
СМАРТФОН,Apple iPhone 14 Pro Max 512GB,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_512gb__gold,https://kdmarket.ru/upload/iblock/63f/63f58d2f4dd70b2a1b31dc8a5c28643e.png,138 990 ₽,.apple_img_preview/63f58d2f4dd70b2a1b31dc8a5c28643e.png
СМАРТФОН,Apple iPhone 14 Pro Max 256GB,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_256gb__violet,https://kdmarket.ru/upload/iblock/817/81797279fe9e4ee853b6e172829255e9.jpeg,115 990 ₽,.apple_img_preview/81797279fe9e4ee853b6e172829255e9.jpeg
СМАРТФОН,Apple iPhone 14 Pro Max 256GB 2 sim,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_256gb_2_sim__graphit,https://kdmarket.ru/upload/iblock/bf1/bf1bdbe2fbacf899f6eb0d345c670eb8.jpeg,116 490 ₽,.apple_img_preview/bf1bdbe2fbacf899f6eb0d345c670eb8.jpeg
СМАРТФОН,Apple iPhone 14 Pro Max 128GB,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_128gb__graphit,https://kdmarket.ru/upload/iblock/625/625aebed1dd17d550c8837f339f955ca.jpeg,105 490 ₽,.apple_img_preview/625aebed1dd17d550c8837f339f955ca.jpeg
СМАРТФОН,Apple iPhone 14 Pro Max 128GB 2 sim,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_128gb_2_sim__violet,https://kdmarket.ru/upload/iblock/298/298e8ffdf39f0e51f956c8b5f977079a.png,104 990 ₽,.apple_img_preview/298e8ffdf39f0e51f956c8b5f977079a.png
СМАРТФОН,Apple iPhone 14 Pro 1TB,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_1tb__gold,https://kdmarket.ru/upload/iblock/50f/50f8aba116563ec24ce71b06654b62bf.jpg,145 990 ₽,.apple_img_preview/50f8aba116563ec24ce71b06654b62bf.jpg
СМАРТФОН,Apple iPhone 14 Pro 512GB,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_512gb__gold,https://kdmarket.ru/upload/iblock/978/9781f32657bb0d52d843924fac533c5b.jpg,128 990 ₽,.apple_img_preview/9781f32657bb0d52d843924fac533c5b.jpg
СМАРТФОН,Apple iPhone 14 Pro 256GB,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_256gb__graphittt,https://kdmarket.ru/upload/iblock/65a/65a523f622fd6eae483d3ce106f95153.png,106 490 ₽,.apple_img_preview/65a523f622fd6eae483d3ce106f95153.png
СМАРТФОН,Apple iPhone 14 Pro 256GB 2 sim,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_256gb_2_sim__gold,https://kdmarket.ru/upload/iblock/8ae/8aebdca515532f112b8dcbe39612ab9e.jpg,105 990 ₽,.apple_img_preview/8aebdca515532f112b8dcbe39612ab9e.jpg
СМАРТФОН,Apple iPhone 14 Pro 128GB,https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_128gb__violet,https://kdmarket.ru/upload/iblock/6b8/6b83d977810bef895da647d34740633a.jpg,96 990 ₽,.apple_img_preview/6b83d977810bef895da647d34740633a.jpg
СМАРТФОН,Apple iPhone 14 Plus 256GB,https://kdmarket.ru/catalog/apple/apple_iphone_14_plus_256gb__midnight,https://kdmarket.ru/upload/iblock/947/94779a50b1ad78b020d59438058c1361.jpeg,89 990 ₽,.apple_img_preview/94779a50b1ad78b020d59438058c1361.jpeg
СМАРТФОН,Apple iPhone 14 Plus 128GB,https://kdmarket.ru/catalog/apple/apple_iphone_14_plus_128gb__blue,https://kdmarket.ru/upload/iblock/0e6/0e61880062fcdc7c86a7eb6113af8152.jpg,81 490 ₽,.apple_img_preview/0e61880062fcdc7c86a7eb6113af8152.jpg
