CATEGORY,FULL TITLE,PRICE,DEVICE CARD LINK,ONLINE IMAGE LINKS,OFFLINE IMAGE LINKS,DESCRIPTIONS,РАЗМЕРЫ И ВЕС,ЭКРАН,ПРОЦЕССОР,ОПЕРАТИВНАЯ ПАМЯТЬ,ХРАНЕНИЕ ДАННЫХ,КАМЕРА,ПЕРЕДАЧА ДАННЫХ,НАВИГАЦИЯ,РАЗЪЕМЫ,АККУМУЛЯТОР,ПРОЧИЕ ХАРАКТЕРИСТИКИ
['Смартфон'],['Смартфон Apple iPhone 14 Pro Max 1TB (космический черный)'],['154 990 ₽'],['https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_1tb__graphit'],"['https://kdmarket.ru/upload/iblock/59a/59ae98fda368eada73bfece0c74ad9ef.png', 'https://kdmarket.ru/upload/iblock/db4/db4424bbf0ab212d5073260040cc9733.png', 'https://kdmarket.ru/upload/iblock/e5f/e5f743dfe7e48302d920e6a83665f7ba.png', 'https://kdmarket.ru/upload/iblock/59a/59ae98fda368eada73bfece0c74ad9ef.png']","['.СМАРТФОН_IMAGE/59ae98fda368eada73bfece0c74ad9ef.png', '.СМАРТФОН_IMAGE/db4424bbf0ab212d5073260040cc9733.png', '.СМАРТФОН_IMAGE/e5f743dfe7e48302d920e6a83665f7ba.png', '.СМАРТФОН_IMAGE/59ae98fda368eada73bfece0c74ad9ef.png']","['\niPhone 14 Pro Max получил 6,7-дюймовый экран, оснащен OLED-дисплем Super Retina XDR с максимальной возможной яркостью до 2000 кд/м22. \nДинамический остров\nГлавное визуальное изменение смартфона: новый вырез в дисплее. В нем расположены датчики, а фон вокруг может меняться в зависимости от уведомлений, подключения AirPods и т.д. \nСамый быстрый\nУ iPhone 14 Pro Max новый мощный процессор Apple A16 Bionic – это самый быстрый чипсет среди айфонов, а два высокопроизводительных ядра используют на 20 % меньше энергии. \nНовые возможности камеры\nГлавная камера смартфона построена на 48-Мп датчике, работает по технологии Quad Pixel: каждые 4 пикселя объединяются в 1, чтобы передать больше света. Качество при съемке в темноте выросло вдвое. Появился новый режим для профессионалов – 48 Мп ProRAW, который позволяет получить снимки в большом разрешении для последующей обработки.']","['Ширина: 77.6 мм', 'Длина: 160.7 мм', 'Толщина: 7.85 мм', 'Вес: 240 г']","['Тип: Super Retina XDR (OLED)', 'Размер: 6.7""', 'Разрешение: 2796x1290', 'Количество пикселей на дюйм: 460', 'True Tone: есть']","['Тип: A16 Bionic', 'Количество ядер: 6']",['Объем: 6 Гб'],['Встроенная: 1024 Гб'],"['Тыловая: 48/12/12 Мпикс', 'Вспышка True Tone: да', 'Автофокус: да', 'Фронтальная камера: 12 Мпикс']","['LTE: да', 'Wi-Fi: да, 2.4 ГГц / 5 ГГц, 2x2 MU-MIMO, ax', 'Bluetooth: 5.3', 'NFC: да', '5G: да']","['GPS: да', 'ГЛОНАСС: да', 'Galileo: да']",['Lightning: да'],"['Возможность быстрой подзарядки: до 50% заряда за 30 минут', 'Воспроизведение аудио: до 95 часов', 'Воспроизве\xadдение видео: до 29 ч']",['Защита от пыли и воды IP68']
['Смартфон'],['Смартфон Apple iPhone 14 Pro Max 1TB (золотой)'],['154 990 ₽'],['https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_1tb__gold'],"['https://kdmarket.ru/upload/iblock/2cb/2cb824b67356a0cfa38133e9a7c7ad07.png', 'https://kdmarket.ru/upload/iblock/4aa/4aa54e423ad6c9b55ff16f211582a78f.png', 'https://kdmarket.ru/upload/iblock/004/0042bc8253e1e2d561a0052effb63db2.png', 'https://kdmarket.ru/upload/iblock/2cb/2cb824b67356a0cfa38133e9a7c7ad07.png']","['.СМАРТФОН_IMAGE/2cb824b67356a0cfa38133e9a7c7ad07.png', '.СМАРТФОН_IMAGE/4aa54e423ad6c9b55ff16f211582a78f.png', '.СМАРТФОН_IMAGE/0042bc8253e1e2d561a0052effb63db2.png', '.СМАРТФОН_IMAGE/2cb824b67356a0cfa38133e9a7c7ad07.png']","['\niPhone 14 Pro Max получил 6,7-дюймовый экран, оснащен OLED-дисплем Super Retina XDR с максимальной возможной яркостью до 2000 кд/м22. \nДинамический остров\nГлавное визуальное изменение смартфона: новый вырез в дисплее. В нем расположены датчики, а фон вокруг может меняться в зависимости от уведомлений, подключения AirPods и т.д. \nСамый быстрый\nУ iPhone 14 Pro Max новый мощный процессор Apple A16 Bionic – это самый быстрый чипсет среди айфонов, а два высокопроизводительных ядра используют на 20 % меньше энергии. \nНовые возможности камеры\nГлавная камера смартфона построена на 48-Мп датчике, работает по технологии Quad Pixel: каждые 4 пикселя объединяются в 1, чтобы передать больше света. Качество при съемке в темноте выросло вдвое. Появился новый режим для профессионалов – 48 Мп ProRAW, который позволяет получить снимки в большом разрешении для последующей обработки.']","['Ширина: 77.6 мм', 'Длина: 160.7 мм', 'Толщина: 7.85 мм', 'Вес: 240 г']","['Тип: Super Retina XDR (OLED)', 'Размер: 6.7""', 'Разрешение: 2796x1290', 'Количество пикселей на дюйм: 460', 'True Tone: есть']","['Тип: A16 Bionic', 'Количество ядер: 6']",['Объем: 6 Гб'],['Встроенная: 1024 Гб'],"['Тыловая: 48/12/12 Мпикс', 'Вспышка True Tone: да', 'Автофокус: да', 'Фронтальная камера: 12 Мпикс']","['LTE: да', 'Wi-Fi: да, 2.4 ГГц / 5 ГГц, 2x2 MU-MIMO, ax', 'Bluetooth: 5.3', 'NFC: да', '5G: да']","['GPS: да', 'ГЛОНАСС: да', 'Galileo: да']",['Lightning: да'],"['Возможность быстрой подзарядки: до 50% заряда за 30 минут', 'Воспроизведение аудио: до 95 часов', 'Воспроизве\xadдение видео: до 29 ч']",['Защита от пыли и воды IP68']
['Смартфон'],['Смартфон Apple iPhone 14 Pro Max 1TB (серебристый)'],['154 990 ₽'],['https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_1tb__silver'],"['https://kdmarket.ru/upload/iblock/e6f/e6f21cfe0b0f04a1505ec48dbec4e7eb.png', 'https://kdmarket.ru/upload/iblock/71d/71d939375f77ebc21ff18934ac29cf13.png', 'https://kdmarket.ru/upload/iblock/2f3/2f3aec7f3c71438e0da825eb573fcd9f.png', 'https://kdmarket.ru/upload/iblock/e6f/e6f21cfe0b0f04a1505ec48dbec4e7eb.png']","['.СМАРТФОН_IMAGE/e6f21cfe0b0f04a1505ec48dbec4e7eb.png', '.СМАРТФОН_IMAGE/71d939375f77ebc21ff18934ac29cf13.png', '.СМАРТФОН_IMAGE/2f3aec7f3c71438e0da825eb573fcd9f.png', '.СМАРТФОН_IMAGE/e6f21cfe0b0f04a1505ec48dbec4e7eb.png']","['\niPhone 14 Pro Max получил 6,7-дюймовый экран, оснащен OLED-дисплем Super Retina XDR с максимальной возможной яркостью до 2000 кд/м22. \nДинамический остров\nГлавное визуальное изменение смартфона: новый вырез в дисплее. В нем расположены датчики, а фон вокруг может меняться в зависимости от уведомлений, подключения AirPods и т.д. \nСамый быстрый\nУ iPhone 14 Pro Max новый мощный процессор Apple A16 Bionic – это самый быстрый чипсет среди айфонов, а два высокопроизводительных ядра используют на 20 % меньше энергии. \nНовые возможности камеры\nГлавная камера смартфона построена на 48-Мп датчике, работает по технологии Quad Pixel: каждые 4 пикселя объединяются в 1, чтобы передать больше света. Качество при съемке в темноте выросло вдвое. Появился новый режим для профессионалов – 48 Мп ProRAW, который позволяет получить снимки в большом разрешении для последующей обработки.']","['Ширина: 77.6 мм', 'Длина: 160.7 мм', 'Толщина: 7.85 мм', 'Вес: 240 г']","['Тип: Super Retina XDR (OLED)', 'Размер: 6.7""', 'Разрешение: 2796x1290', 'Количество пикселей на дюйм: 460', 'True Tone: есть']","['Тип: A16 Bionic', 'Количество ядер: 6']",['Объем: 6 Гб'],['Встроенная: 1024 Гб'],"['Тыловая: 48/12/12 Мпикс', 'Вспышка True Tone: да', 'Автофокус: да', 'Фронтальная камера: 12 Мпикс']","['LTE: да', 'Wi-Fi: да, 2.4 ГГц / 5 ГГц, 2x2 MU-MIMO, ax', 'Bluetooth: 5.3', 'NFC: да', '5G: да']","['GPS: да', 'ГЛОНАСС: да', 'Galileo: да']",['Lightning: да'],"['Возможность быстрой подзарядки: до 50% заряда за 30 минут', 'Воспроизведение аудио: до 95 часов', 'Воспроизве\xadдение видео: до 29 ч']",['Защита от пыли и воды IP68']
['Смартфон'],['Смартфон Apple iPhone 14 Pro Max 1TB (темно-фиолетовый)'],['157 490 ₽'],['https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_1tb__violet'],"['https://kdmarket.ru/upload/iblock/77a/77a169d20a728f47e5157f2f4d86c42f.png', 'https://kdmarket.ru/upload/iblock/9fc/9fc6266ad626a16e98b260ef73ba34a2.png', 'https://kdmarket.ru/upload/iblock/1e9/1e96c89c1db4a5742b01f547579f7367.png', 'https://kdmarket.ru/upload/iblock/77a/77a169d20a728f47e5157f2f4d86c42f.png']","['.СМАРТФОН_IMAGE/77a169d20a728f47e5157f2f4d86c42f.png', '.СМАРТФОН_IMAGE/9fc6266ad626a16e98b260ef73ba34a2.png', '.СМАРТФОН_IMAGE/1e96c89c1db4a5742b01f547579f7367.png', '.СМАРТФОН_IMAGE/77a169d20a728f47e5157f2f4d86c42f.png']","['\niPhone 14 Pro Max получил 6,7-дюймовый экран, оснащен OLED-дисплем Super Retina XDR с максимальной возможной яркостью до 2000 кд/м22. \nДинамический остров\nГлавное визуальное изменение смартфона: новый вырез в дисплее. В нем расположены датчики, а фон вокруг может меняться в зависимости от уведомлений, подключения AirPods и т.д. \nСамый быстрый\nУ iPhone 14 Pro Max новый мощный процессор Apple A16 Bionic – это самый быстрый чипсет среди айфонов, а два высокопроизводительных ядра используют на 20 % меньше энергии. \nНовые возможности камеры\nГлавная камера смартфона построена на 48-Мп датчике, работает по технологии Quad Pixel: каждые 4 пикселя объединяются в 1, чтобы передать больше света. Качество при съемке в темноте выросло вдвое. Появился новый режим для профессионалов – 48 Мп ProRAW, который позволяет получить снимки в большом разрешении для последующей обработки.']","['Ширина: 77.6 мм', 'Длина: 160.7 мм', 'Толщина: 7.85 мм', 'Вес: 240 г']","['Тип: Super Retina XDR (OLED)', 'Размер: 6.7""', 'Разрешение: 2796x1290', 'Количество пикселей на дюйм: 460', 'True Tone: есть']","['Тип: A16 Bionic', 'Количество ядер: 6']",['Объем: 6 Гб'],['Встроенная: 1024 Гб'],"['Тыловая: 48/12/12 Мпикс', 'Вспышка True Tone: да', 'Автофокус: да', 'Фронтальная камера: 12 Мпикс']","['LTE: да', 'Wi-Fi: да, 2.4 ГГц / 5 ГГц, 2x2 MU-MIMO, ax', 'Bluetooth: 5.3', 'NFC: да', '5G: да']","['GPS: да', 'ГЛОНАСС: да', 'Galileo: да']",['Lightning: да'],"['Возможность быстрой подзарядки: до 50% заряда за 30 минут', 'Воспроизведение аудио: до 95 часов', 'Воспроизве\xadдение видео: до 29 ч']",['Защита от пыли и воды IP68']
['Смартфон'],['Смартфон Apple iPhone 14 Pro Max 512GB (серебристый)'],['138 990 ₽'],['https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_512gb__silver'],"['https://kdmarket.ru/upload/iblock/b98/b98f60b6fa1d6afeba7064e1731232f2.jpeg', 'https://kdmarket.ru/upload/iblock/a5b/a5bcbc1af4f792d3746c693c4c3651d7.jpeg', 'https://kdmarket.ru/upload/iblock/b5d/b5d2822b3f96faabbd84f63787efde64.jpeg', 'https://kdmarket.ru/upload/iblock/b98/b98f60b6fa1d6afeba7064e1731232f2.jpeg']","['.СМАРТФОН_IMAGE/b98f60b6fa1d6afeba7064e1731232f2.jpeg', '.СМАРТФОН_IMAGE/a5bcbc1af4f792d3746c693c4c3651d7.jpeg', '.СМАРТФОН_IMAGE/b5d2822b3f96faabbd84f63787efde64.jpeg', '.СМАРТФОН_IMAGE/b98f60b6fa1d6afeba7064e1731232f2.jpeg']","['\niPhone 14 Pro Max получил 6,7-дюймовый экран, оснащен OLED-дисплем Super Retina XDR с максимальной возможной яркостью до 2000 кд/м22. \nДинамический остров\nГлавное визуальное изменение смартфона: новый вырез в дисплее. В нем расположены датчики, а фон вокруг может меняться в зависимости от уведомлений, подключения AirPods и т.д. \nСамый быстрый\nУ iPhone 14 Pro Max новый мощный процессор Apple A16 Bionic – это самый быстрый чипсет среди айфонов, а два высокопроизводительных ядра используют на 20 % меньше энергии. \nНовые возможности камеры\nГлавная камера смартфона построена на 48-Мп датчике, работает по технологии Quad Pixel: каждые 4 пикселя объединяются в 1, чтобы передать больше света. Качество при съемке в темноте выросло вдвое. Появился новый режим для профессионалов – 48 Мп ProRAW, который позволяет получить снимки в большом разрешении для последующей обработки.']","['Ширина: 77.6 мм', 'Длина: 160.7 мм', 'Толщина: 7.85 мм', 'Вес: 240 г']","['Тип: Super Retina XDR (OLED)', 'Размер: 6.7""', 'Разрешение: 2796x1290', 'Количество пикселей на дюйм: 460', 'True Tone: есть']","['Тип: A16 Bionic', 'Количество ядер: 6']",['Объем: 6 Гб'],['Встроенная: 512 Гб'],"['Тыловая: 48/12/12 Мпикс', 'Вспышка True Tone: да', 'Автофокус: да', 'Фронтальная камера: 12 Мпикс']","['LTE: да', 'Wi-Fi: да, 2.4 ГГц / 5 ГГц, 2x2 MU-MIMO, ax', 'Bluetooth: 5.3', 'NFC: да', '5G: да']","['GPS: да', 'ГЛОНАСС: да', 'Galileo: да']",['Lightning: да'],"['Возможность быстрой подзарядки: до 50% заряда за 30 минут', 'Воспроизведение аудио: до 95 часов', 'Воспроизве\xadдение видео: до 29 ч']",['Защита от пыли и воды IP68']
['Смартфон'],['Смартфон Apple iPhone 14 Pro Max 512GB (космический черный)'],['138 990 ₽'],['https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_512gb__graphit'],"['https://kdmarket.ru/upload/iblock/1d4/1d4dcdb9132e3bcc42d5520fc12460f0.jpeg', 'https://kdmarket.ru/upload/iblock/48e/48edb285313aeff344a4be7ac34cef9b.jpeg', 'https://kdmarket.ru/upload/iblock/433/433a989608279aed12904f198d7e54a6.jpeg', 'https://kdmarket.ru/upload/iblock/1d4/1d4dcdb9132e3bcc42d5520fc12460f0.jpeg']","['.СМАРТФОН_IMAGE/1d4dcdb9132e3bcc42d5520fc12460f0.jpeg', '.СМАРТФОН_IMAGE/48edb285313aeff344a4be7ac34cef9b.jpeg', '.СМАРТФОН_IMAGE/433a989608279aed12904f198d7e54a6.jpeg', '.СМАРТФОН_IMAGE/1d4dcdb9132e3bcc42d5520fc12460f0.jpeg']","['\niPhone 14 Pro Max получил 6,7-дюймовый экран, оснащен OLED-дисплем Super Retina XDR с максимальной возможной яркостью до 2000 кд/м22. \nДинамический остров\nГлавное визуальное изменение смартфона: новый вырез в дисплее. В нем расположены датчики, а фон вокруг может меняться в зависимости от уведомлений, подключения AirPods и т.д. \nСамый быстрый\nУ iPhone 14 Pro Max новый мощный процессор Apple A16 Bionic – это самый быстрый чипсет среди айфонов, а два высокопроизводительных ядра используют на 20 % меньше энергии. \nНовые возможности камеры\nГлавная камера смартфона построена на 48-Мп датчике, работает по технологии Quad Pixel: каждые 4 пикселя объединяются в 1, чтобы передать больше света. Качество при съемке в темноте выросло вдвое. Появился новый режим для профессионалов – 48 Мп ProRAW, который позволяет получить снимки в большом разрешении для последующей обработки.']","['Ширина: 77.6 мм', 'Длина: 160.7 мм', 'Толщина: 7.85 мм', 'Вес: 240 г']","['Тип: Super Retina XDR (OLED)', 'Размер: 6.7""', 'Разрешение: 2796x1290', 'Количество пикселей на дюйм: 460', 'True Tone: есть']","['Тип: A16 Bionic', 'Количество ядер: 6']",['Объем: 6 Гб'],['Встроенная: 512 Гб'],"['Тыловая: 48/12/12 Мпикс', 'Вспышка True Tone: да', 'Автофокус: да', 'Фронтальная камера: 12 Мпикс']","['LTE: да', 'Wi-Fi: да, 2.4 ГГц / 5 ГГц, 2x2 MU-MIMO, ax', 'Bluetooth: 5.3', 'NFC: да', '5G: да']","['GPS: да', 'ГЛОНАСС: да', 'Galileo: да']",['Lightning: да'],"['Возможность быстрой подзарядки: до 50% заряда за 30 минут', 'Воспроизведение аудио: до 95 часов', 'Воспроизве\xadдение видео: до 29 ч']",['Защита от пыли и воды IP68']
['Смартфон'],['Смартфон Apple iPhone 14 Pro Max 512GB (темно-фиолетовый)'],['138 990 ₽'],['https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_512gb__violet'],"['https://kdmarket.ru/upload/iblock/3df/3df1a8fe066a9425d79cc6592ea7a732.png', 'https://kdmarket.ru/upload/iblock/621/621be1fc957a2be3e83075e0d68f78c2.png', 'https://kdmarket.ru/upload/iblock/dc8/dc822ee5e1e1eaa9c1edb66e22c4f5fd.png', 'https://kdmarket.ru/upload/iblock/3df/3df1a8fe066a9425d79cc6592ea7a732.png']","['.СМАРТФОН_IMAGE/3df1a8fe066a9425d79cc6592ea7a732.png', '.СМАРТФОН_IMAGE/621be1fc957a2be3e83075e0d68f78c2.png', '.СМАРТФОН_IMAGE/dc822ee5e1e1eaa9c1edb66e22c4f5fd.png', '.СМАРТФОН_IMAGE/3df1a8fe066a9425d79cc6592ea7a732.png']","['\niPhone 14 Pro Max получил 6,7-дюймовый экран, оснащен OLED-дисплем Super Retina XDR с максимальной возможной яркостью до 2000 кд/м22. \nДинамический остров\nГлавное визуальное изменение смартфона: новый вырез в дисплее. В нем расположены датчики, а фон вокруг может меняться в зависимости от уведомлений, подключения AirPods и т.д. \nСамый быстрый\nУ iPhone 14 Pro Max новый мощный процессор Apple A16 Bionic – это самый быстрый чипсет среди айфонов, а два высокопроизводительных ядра используют на 20 % меньше энергии. \nНовые возможности камеры\nГлавная камера смартфона построена на 48-Мп датчике, работает по технологии Quad Pixel: каждые 4 пикселя объединяются в 1, чтобы передать больше света. Качество при съемке в темноте выросло вдвое. Появился новый режим для профессионалов – 48 Мп ProRAW, который позволяет получить снимки в большом разрешении для последующей обработки.']","['Ширина: 77.6 мм', 'Длина: 160.7 мм', 'Толщина: 7.85 мм', 'Вес: 240 г']","['Тип: Super Retina XDR (OLED)', 'Размер: 6.7""', 'Разрешение: 2796x1290', 'Количество пикселей на дюйм: 460', 'True Tone: есть']","['Тип: A16 Bionic', 'Количество ядер: 6']",['Объем: 6 Гб'],['Встроенная: 512 Гб'],"['Тыловая: 48/12/12 Мпикс', 'Вспышка True Tone: да', 'Автофокус: да', 'Фронтальная камера: 12 Мпикс']","['LTE: да', 'Wi-Fi: да, 2.4 ГГц / 5 ГГц, 2x2 MU-MIMO, ax', 'Bluetooth: 5.3', 'NFC: да', '5G: да']","['GPS: да', 'ГЛОНАСС: да', 'Galileo: да']",['Lightning: да'],"['Возможность быстрой подзарядки: до 50% заряда за 30 минут', 'Воспроизведение аудио: до 95 часов', 'Воспроизве\xadдение видео: до 29 ч']",['Защита от пыли и воды IP68']
['Смартфон'],['Смартфон Apple iPhone 14 Pro Max 512GB (золотой)'],['138 990 ₽'],['https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_512gb__gold'],"['https://kdmarket.ru/upload/iblock/f32/f320137d906f41a9e04681243350f46b.png', 'https://kdmarket.ru/upload/iblock/ccf/ccf80dbb0f58bd829a855215688f2516.png', 'https://kdmarket.ru/upload/iblock/0c3/0c3a26b5d16e82bced58d20347d8ad80.png', 'https://kdmarket.ru/upload/iblock/f32/f320137d906f41a9e04681243350f46b.png']","['.СМАРТФОН_IMAGE/f320137d906f41a9e04681243350f46b.png', '.СМАРТФОН_IMAGE/ccf80dbb0f58bd829a855215688f2516.png', '.СМАРТФОН_IMAGE/0c3a26b5d16e82bced58d20347d8ad80.png', '.СМАРТФОН_IMAGE/f320137d906f41a9e04681243350f46b.png']","['\niPhone 14 Pro Max получил 6,7-дюймовый экран, оснащен OLED-дисплем Super Retina XDR с максимальной возможной яркостью до 2000 кд/м22. \nДинамический остров\nГлавное визуальное изменение смартфона: новый вырез в дисплее. В нем расположены датчики, а фон вокруг может меняться в зависимости от уведомлений, подключения AirPods и т.д. \nСамый быстрый\nУ iPhone 14 Pro Max новый мощный процессор Apple A16 Bionic – это самый быстрый чипсет среди айфонов, а два высокопроизводительных ядра используют на 20 % меньше энергии. \nНовые возможности камеры\nГлавная камера смартфона построена на 48-Мп датчике, работает по технологии Quad Pixel: каждые 4 пикселя объединяются в 1, чтобы передать больше света. Качество при съемке в темноте выросло вдвое. Появился новый режим для профессионалов – 48 Мп ProRAW, который позволяет получить снимки в большом разрешении для последующей обработки.']","['Ширина: 77.6 мм', 'Длина: 160.7 мм', 'Толщина: 7.85 мм', 'Вес: 240 г']","['Тип: Super Retina XDR (OLED)', 'Размер: 6.7""', 'Разрешение: 2796x1290', 'Количество пикселей на дюйм: 460', 'True Tone: есть']","['Тип: A16 Bionic', 'Количество ядер: 6']",['Объем: 6 Гб'],['Встроенная: 512 Гб'],"['Тыловая: 48/12/12 Мпикс', 'Вспышка True Tone: да', 'Автофокус: да', 'Фронтальная камера: 12 Мпикс']","['LTE: да', 'Wi-Fi: да, 2.4 ГГц / 5 ГГц, 2x2 MU-MIMO, ax', 'Bluetooth: 5.3', 'NFC: да', '5G: да']","['GPS: да', 'ГЛОНАСС: да', 'Galileo: да']",['Lightning: да'],"['Возможность быстрой подзарядки: до 50% заряда за 30 минут', 'Воспроизведение аудио: до 95 часов', 'Воспроизве\xadдение видео: до 29 ч']",['Защита от пыли и воды IP68']
['Смартфон'],['Смартфон Apple iPhone 14 Pro Max 256GB (темно-фиолетовый)'],['115 990 ₽'],['https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_256gb__violet'],"['https://kdmarket.ru/upload/iblock/d2a/d2a7e89d010eed194fc08f3c0b546eda.jpeg', 'https://kdmarket.ru/upload/iblock/cb8/cb8c58e5aa3a89a1edc0e7ba8b9c2616.jpeg', 'https://kdmarket.ru/upload/iblock/0fa/0fa4bfe54d4cf1f44943826f90982dd2.jpeg', 'https://kdmarket.ru/upload/iblock/d2a/d2a7e89d010eed194fc08f3c0b546eda.jpeg']","['.СМАРТФОН_IMAGE/d2a7e89d010eed194fc08f3c0b546eda.jpeg', '.СМАРТФОН_IMAGE/cb8c58e5aa3a89a1edc0e7ba8b9c2616.jpeg', '.СМАРТФОН_IMAGE/0fa4bfe54d4cf1f44943826f90982dd2.jpeg', '.СМАРТФОН_IMAGE/d2a7e89d010eed194fc08f3c0b546eda.jpeg']","['\niPhone 14 Pro Max получил 6,7-дюймовый экран, оснащен OLED-дисплем Super Retina XDR с максимальной возможной яркостью до 2000 кд/м22. \nДинамический остров\nГлавное визуальное изменение смартфона: новый вырез в дисплее. В нем расположены датчики, а фон вокруг может меняться в зависимости от уведомлений, подключения AirPods и т.д. \nСамый быстрый\nУ iPhone 14 Pro Max новый мощный процессор Apple A16 Bionic – это самый быстрый чипсет среди айфонов, а два высокопроизводительных ядра используют на 20 % меньше энергии. \nНовые возможности камеры\nГлавная камера смартфона построена на 48-Мп датчике, работает по технологии Quad Pixel: каждые 4 пикселя объединяются в 1, чтобы передать больше света. Качество при съемке в темноте выросло вдвое. Появился новый режим для профессионалов – 48 Мп ProRAW, который позволяет получить снимки в большом разрешении для последующей обработки.']","['Ширина: 77.6 мм', 'Длина: 160.7 мм', 'Толщина: 7.85 мм', 'Вес: 240 г']","['Тип: Super Retina XDR (OLED)', 'Размер: 6.7""', 'Разрешение: 2796x1290', 'Количество пикселей на дюйм: 460', 'True Tone: есть']","['Тип: A16 Bionic', 'Количество ядер: 6']",['Объем: 6 Гб'],['Встроенная: 256 Гб'],"['Тыловая: 48/12/12 Мпикс', 'Вспышка True Tone: да', 'Автофокус: да', 'Фронтальная камера: 12 Мпикс']","['LTE: да', 'Wi-Fi: да, 2.4 ГГц / 5 ГГц, 2x2 MU-MIMO, ax', 'Bluetooth: 5.3', 'NFC: да', '5G: да']","['GPS: да', 'ГЛОНАСС: да', 'Galileo: да']",['Lightning: да'],"['Возможность быстрой подзарядки: до 50% заряда за 30 минут', 'Воспроизведение аудио: до 95 часов', 'Воспроизве\xadдение видео: до 29 ч']",['Защита от пыли и воды IP68']
['Смартфон'],['Смартфон Apple iPhone 14 Pro Max 256GB (серебристый)'],['117 990 ₽'],['https://kdmarket.ru/catalog/apple/apple_iphone_14_pro_max_256gb__silver'],"['https://kdmarket.ru/upload/iblock/746/7460015f042e3ff8d40cd664d0588a3c.jpeg', 'https://kdmarket.ru/upload/iblock/96d/96d852167cf9219f0d371294f6b82df4.jpeg', 'https://kdmarket.ru/upload/iblock/157/15738d48ff1b1fa84a46f488a8f1d801.jpeg', 'https://kdmarket.ru/upload/iblock/746/7460015f042e3ff8d40cd664d0588a3c.jpeg']","['.СМАРТФОН_IMAGE/7460015f042e3ff8d40cd664d0588a3c.jpeg', '.СМАРТФОН_IMAGE/96d852167cf9219f0d371294f6b82df4.jpeg', '.СМАРТФОН_IMAGE/15738d48ff1b1fa84a46f488a8f1d801.jpeg', '.СМАРТФОН_IMAGE/7460015f042e3ff8d40cd664d0588a3c.jpeg']","['\niPhone 14 Pro Max получил 6,7-дюймовый экран, оснащен OLED-дисплем Super Retina XDR с максимальной возможной яркостью до 2000 кд/м22. \nДинамический остров\nГлавное визуальное изменение смартфона: новый вырез в дисплее. В нем расположены датчики, а фон вокруг может меняться в зависимости от уведомлений, подключения AirPods и т.д. \nСамый быстрый\nУ iPhone 14 Pro Max новый мощный процессор Apple A16 Bionic – это самый быстрый чипсет среди айфонов, а два высокопроизводительных ядра используют на 20 % меньше энергии. \nНовые возможности камеры\nГлавная камера смартфона построена на 48-Мп датчике, работает по технологии Quad Pixel: каждые 4 пикселя объединяются в 1, чтобы передать больше света. Качество при съемке в темноте выросло вдвое. Появился новый режим для профессионалов – 48 Мп ProRAW, который позволяет получить снимки в большом разрешении для последующей обработки.']","['Ширина: 77.6 мм', 'Длина: 160.7 мм', 'Толщина: 7.85 мм', 'Вес: 240 г']","['Тип: Super Retina XDR (OLED)', 'Размер: 6.7""', 'Разрешение: 2796x1290', 'Количество пикселей на дюйм: 460', 'True Tone: есть']","['Тип: A16 Bionic', 'Количество ядер: 6']",['Объем: 6 Гб'],['Встроенная: 256 Гб'],"['Тыловая: 48/12/12 Мпикс', 'Вспышка True Tone: да', 'Автофокус: да', 'Фронтальная камера: 12 Мпикс']","['LTE: да', 'Wi-Fi: да, 2.4 ГГц / 5 ГГц, 2x2 MU-MIMO, ax', 'Bluetooth: 5.3', 'NFC: да', '5G: да']","['GPS: да', 'ГЛОНАСС: да', 'Galileo: да']",['Lightning: да'],"['Возможность быстрой подзарядки: до 50% заряда за 30 минут', 'Воспроизведение аудио: до 95 часов', 'Воспроизве\xadдение видео: до 29 ч']",['Защита от пыли и воды IP68']
