subcategory_name,item_title,item_page_link,preview_img_link,price,preview_local_link
УМНЫЕ ЧАСЫ,Apple Watch Series Ultra 49mm альпийская петля,https://kdmarket.ru/catalog/gadgets/apple_watch_series_ultra_49mm_alpiyskaya_petlya__greennn,https://kdmarket.ru/upload/iblock/98f/98f59fd940916792346ccdecb47e38f7.JPG,77 490 ₽,.gadgets_img_preview/98f59fd940916792346ccdecb47e38f7.JPG
УМНЫЕ ЧАСЫ,Apple Watch Series 8 45mm Aluminium with Sport Band,https://kdmarket.ru/catalog/gadgets/apple_watch_series_8_45mm_aluminium_with_sport_band__white,https://kdmarket.ru/upload/iblock/2cf/2cf666fe7014eb63c97241d7774a9c91.JPG,38 990 ₽,.gadgets_img_preview/2cf666fe7014eb63c97241d7774a9c91.JPG
УМНЫЕ ЧАСЫ,Apple Watch Series 8 41mm Aluminium with Sport Band,https://kdmarket.ru/catalog/gadgets/apple_watch_series_8_41mm_aluminium_with_sport_band__white,https://kdmarket.ru/upload/iblock/01e/01e5539c1b74654684f945643d676051.JPG,36 990 ₽,.gadgets_img_preview/01e5539c1b74654684f945643d676051.JPG
УМНЫЕ ЧАСЫ,Apple Watch SE 2 GPS 44мм ,https://kdmarket.ru/catalog/gadgets/apple_watch_se_2_gps_44mm___silverr,https://kdmarket.ru/upload/iblock/e56/e566cb215a41ca62cd832726dbd33bbb.png,28 490 ₽,.gadgets_img_preview/e566cb215a41ca62cd832726dbd33bbb.png
УМНЫЕ ЧАСЫ,Apple Watch Series Ultra 49mm походная петля,https://kdmarket.ru/catalog/gadgets/apple_watch_series_ultra_49mm___blackkkkkkkkkk,https://kdmarket.ru/upload/iblock/a2e/a2e275e98c04a5c8a0be8ce47ce8a322.png,77 490 ₽,.gadgets_img_preview/a2e275e98c04a5c8a0be8ce47ce8a322.png
УМНЫЕ ЧАСЫ,Apple Watch SE 2 GPS 40мм ,https://kdmarket.ru/catalog/gadgets/apple_watch_se_2_gps_40mm___black,https://kdmarket.ru/upload/iblock/103/103f48942c78d5709ff1e29be69d0e7c.JPG,26 990 ₽,.gadgets_img_preview/103f48942c78d5709ff1e29be69d0e7c.JPG
УМНЫЕ ЧАСЫ,Apple Watch Series Ultra 49mm океаническая петля,https://kdmarket.ru/catalog/gadgets/apple_watch_series_ultra_49mm_okeanicheskaya_petlya__black,https://kdmarket.ru/upload/iblock/e69/e69b348003421a16711736d23a4c0cb2.JPG,77 490 ₽,.gadgets_img_preview/e69b348003421a16711736d23a4c0cb2.JPG
УМНЫЕ ЧАСЫ,Samsung Galaxy Watch 5 40мм ,https://kdmarket.ru/catalog/gadgets/samsung_galaxy_watch5_40mm__black,https://kdmarket.ru/upload/iblock/4ad/4adb948e3b47f95f602834fd1ebcfc5d.JPG,18 990 ₽,.gadgets_img_preview/4adb948e3b47f95f602834fd1ebcfc5d.JPG
УМНЫЕ ЧАСЫ,Samsung Galaxy Watch 5 44мм ,https://kdmarket.ru/catalog/gadgets/samsung_galaxy_watch5_44mm__silver,https://kdmarket.ru/upload/iblock/be1/be17e9ba8c0309f8ff6e936fffbee943.JPG,20 990 ₽,.gadgets_img_preview/be17e9ba8c0309f8ff6e936fffbee943.JPG
УМНЫЕ ЧАСЫ,Amazfit GTS 4 mini,https://kdmarket.ru/catalog/gadgets/amazfit_gts_4_mini__black,https://kdmarket.ru/upload/iblock/cbf/cbfb4f46b8a9e175cfa274ad37788cb5.JPG,7 290 ₽,.gadgets_img_preview/cbfb4f46b8a9e175cfa274ad37788cb5.JPG
УМНЫЕ ЧАСЫ,Amazfit GTS 4,https://kdmarket.ru/catalog/gadgets/amazfit_gts_4__black,https://kdmarket.ru/upload/iblock/50e/50e06eb021e6134f7a41e28509c442da.png,13 990 ₽,.gadgets_img_preview/50e06eb021e6134f7a41e28509c442da.png
УМНЫЕ ЧАСЫ,Amazfit GTR 4,https://kdmarket.ru/catalog/gadgets/amazfit_gtr_4__gray,https://kdmarket.ru/upload/iblock/588/58849c7abbc82c08e0dc21e8b957015e.png,13 990 ₽,.gadgets_img_preview/58849c7abbc82c08e0dc21e8b957015e.png
УМНЫЕ ЧАСЫ,Xiaomi Mi Smart Band 7,https://kdmarket.ru/catalog/gadgets/xiaomi_mi_smart_band_7__black,https://kdmarket.ru/upload/iblock/546/546f506c04d3d3b34b8f9fc8043f998e.JPG,2 990 ₽,.gadgets_img_preview/546f506c04d3d3b34b8f9fc8043f998e.JPG
УМНЫЕ ЧАСЫ,Smart Baby Watch KT24s,https://kdmarket.ru/catalog/gadgets/smart_baby_watch_kt24s__black,https://kdmarket.ru/upload/iblock/5b8/5b8a1835755734079037d754a311bf01.png,5 490 ₽,.gadgets_img_preview/5b8a1835755734079037d754a311bf01.png
УМНЫЕ ЧАСЫ,Smart Baby Watch KT25,https://kdmarket.ru/catalog/gadgets/smart_baby_watch_kt25__black,https://kdmarket.ru/upload/iblock/b04/b0489441679319f7f8fe323e63b09831.png,5 490 ₽,.gadgets_img_preview/b0489441679319f7f8fe323e63b09831.png
УМНЫЕ ЧАСЫ,Smart Baby Watch KT12,https://kdmarket.ru/catalog/gadgets/smart_baby_watch_wonlex_kt12__black,https://kdmarket.ru/upload/iblock/dc5/dc50e6cbb62b97edfc1259f312d72486.png,5 490 ₽,.gadgets_img_preview/dc50e6cbb62b97edfc1259f312d72486.png
УМНЫЕ ЧАСЫ,Smart Baby Watch KT23,https://kdmarket.ru/catalog/gadgets/smart_baby_watch_kt23__black,https://kdmarket.ru/upload/iblock/7be/7be48c70e74268c20b0dd8f0f0fa7dbb.png,5 490 ₽,.gadgets_img_preview/7be48c70e74268c20b0dd8f0f0fa7dbb.png
УМНЫЕ ЧАСЫ,Smart Baby Watch KT24,https://kdmarket.ru/catalog/gadgets/smart_baby_watch_kt24__blue,https://kdmarket.ru/upload/iblock/4e9/4e94e150d92bde0542538b66b55d104c.jpg,5 490 ₽,.gadgets_img_preview/4e94e150d92bde0542538b66b55d104c.jpg
УМНЫЕ ЧАСЫ,Smart Baby Watch KT13,https://kdmarket.ru/catalog/gadgets/smart_baby_watch_kt13__black,https://kdmarket.ru/upload/iblock/bfd/bfd80d80f8667c4d9eae9cadd47c42f6.jpg,5 490 ₽,.gadgets_img_preview/bfd80d80f8667c4d9eae9cadd47c42f6.jpg
УМНЫЕ ЧАСЫ,Smart Baby Watch Wonlex KT11,https://kdmarket.ru/catalog/gadgets/smart_baby_watch_wonlex_kt11__black,https://kdmarket.ru/upload/iblock/f69/f69ebd92f7f5a1750c55e8a1690ab4a2.png,5 490 ₽,.gadgets_img_preview/f69ebd92f7f5a1750c55e8a1690ab4a2.png
УМНЫЕ ЧАСЫ,Smart Baby Watch GW400x,https://kdmarket.ru/catalog/gadgets/smart_baby_watch_gw400x__black,https://kdmarket.ru/upload/iblock/ac7/ac796dcedcd8ec71a064b1b2e8f0d27e.png,4 490 ₽,.gadgets_img_preview/ac796dcedcd8ec71a064b1b2e8f0d27e.png
УМНЫЕ ЧАСЫ,Amazfit GTR 3,https://kdmarket.ru/catalog/gadgets/amazfit_gtr_3__black,https://kdmarket.ru/upload/iblock/5f0/5f0293683972b18216b2422f991210f9.jpg,10 290 ₽,.gadgets_img_preview/5f0293683972b18216b2422f991210f9.jpg
УМНЫЕ ЧАСЫ,Amazfit GTR 2 Classic,https://kdmarket.ru/catalog/gadgets/amazfit_gtr_2_classic__black,https://kdmarket.ru/upload/iblock/990/990300f26e119ce4eed9e6c66d9e4e90.jpg,9 490 ₽,.gadgets_img_preview/990300f26e119ce4eed9e6c66d9e4e90.jpg
УМНЫЕ ЧАСЫ,Apple Watch Series 8 41mm Stainless Steel with Stainless Milanese Loop,https://kdmarket.ru/catalog/gadgets/apple_watch_series_8_41mm_stainless_steel_with_stainless_milanese_loop__grey,https://kdmarket.ru/upload/iblock/afe/afe9588e4e9ab7a75ed1af1826011e84.png,89 990 ₽,.gadgets_img_preview/afe9588e4e9ab7a75ed1af1826011e84.png
УМНЫЕ ЧАСЫ,Apple Watch Series 8 45mm Stainless Steel with Stainless Milanese Loop,https://kdmarket.ru/catalog/gadgets/apple_watch_series_8_45mm_stainless_steel_with_stainless_milanese_loop__gold,https://kdmarket.ru/upload/iblock/221/2219fb09fc2c11efc72d440435fc2208.png,92 990 ₽,.gadgets_img_preview/2219fb09fc2c11efc72d440435fc2208.png
УМНЫЕ ЧАСЫ,Garmin Fenix 7S,https://kdmarket.ru/catalog/gadgets/garmin_fenix_7s__bronze,https://kdmarket.ru/upload/iblock/3a9/3a94d46917fa6d116df330af544041ac.PNG,68 990 ₽,.gadgets_img_preview/3a94d46917fa6d116df330af544041ac.PNG
