subcategory_name,item_title,item_page_link,preview_img_link,price,preview_local_link
ЭЛЕКТРИЧЕСКАЯ ЗУБНАЯ ЩЕТКА,Soocas X3 Pro,https://kdmarket.ru/catalog/gadgets_beauty/soocas_x3_pro__blue,https://kdmarket.ru/upload/iblock/79d/79dae0a7cb88c839ba08a81077b6c55c.JPG,4 490 ₽,.gadgets_beauty_img_preview/79dae0a7cb88c839ba08a81077b6c55c.JPG
ЭЛЕКТРИЧЕСКАЯ ЗУБНАЯ ЩЕТКА,Soocas X3U,https://kdmarket.ru/catalog/gadgets_beauty/soocas_x3u__pink,https://kdmarket.ru/upload/iblock/893/893d393bcaab976a4fb48a6a3443cbe1.png,3 990 ₽,.gadgets_beauty_img_preview/893d393bcaab976a4fb48a6a3443cbe1.png
ЭЛЕКТРИЧЕСКАЯ ЗУБНАЯ ЩЕТКА,Oral-B Precision Clean DB4.010,https://kdmarket.ru/catalog/gadgets_beauty/oral_b_precision_clean_db4_010__blue,https://kdmarket.ru/upload/iblock/371/371986a2f64ddc195cf0879fa4fd4c2d.jpg,2 290 ₽,.gadgets_beauty_img_preview/371986a2f64ddc195cf0879fa4fd4c2d.jpg
ЭЛЕКТРИЧЕСКАЯ ЗУБНАЯ ЩЕТКА,Soocas X3U (1 насадка),https://kdmarket.ru/catalog/gadgets_beauty/soocas_x3u_1_nasadka__black,https://kdmarket.ru/upload/iblock/459/4597ff491df44c228412d30ecc64299b.png,3 490 ₽,.gadgets_beauty_img_preview/4597ff491df44c228412d30ecc64299b.png
ЭЛЕКТРИЧЕСКАЯ ЗУБНАЯ ЩЕТКА,Soocas V1,https://kdmarket.ru/catalog/gadgets_beauty/soocas_v1__pink,https://kdmarket.ru/upload/iblock/11e/11eccc8e5c49bd39dce34ae7877d7ce9.jpg,2 490 ₽,.gadgets_beauty_img_preview/11eccc8e5c49bd39dce34ae7877d7ce9.jpg
ИРРИГАТОР,DR.BEI YMYM Water Flosser,https://kdmarket.ru/catalog/gadgets_beauty/dr_bei_ymym_water_flosser__white,https://kdmarket.ru/upload/iblock/eaa/eaa299abd2d982ca173864fc46e9ab8a.PNG,3 490 ₽,.gadgets_beauty_img_preview/eaa299abd2d982ca173864fc46e9ab8a.PNG
ИРРИГАТОР,Dr.Bei F3,https://kdmarket.ru/catalog/gadgets_beauty/dr_bei_portable_water_flosser_gf3__white,https://kdmarket.ru/upload/iblock/bc9/bc9c7bb8d086d100b730f37b4c1d9f6d.jpg,2 990 ₽,.gadgets_beauty_img_preview/bc9c7bb8d086d100b730f37b4c1d9f6d.jpg
ВЕСЫ ЭЛЕКТРОННЫЕ,Amazfit Smart Scale Aurora gradient (A2003),https://kdmarket.ru/catalog/gadgets_beauty/amazfit_smart_scale_aurora_gradient_a2003__blue,https://kdmarket.ru/upload/iblock/714/71441637c07d856660a88e00b0cabf09.PNG,3 590 ₽,.gadgets_beauty_img_preview/71441637c07d856660a88e00b0cabf09.PNG
ВЕСЫ ЭЛЕКТРОННЫЕ,Xiaomi Mi Smart Scale 2,https://kdmarket.ru/catalog/gadgets_beauty/xiaomi_mi_smart_scale_2__mismartscale2,https://kdmarket.ru/upload/iblock/ad6/ad6bece8c0b08daf3c0bb7c05b245eb8.png,1 390 ₽,.gadgets_beauty_img_preview/ad6bece8c0b08daf3c0bb7c05b245eb8.png
ВЫПРЯМИТЕЛЬ,Xiaomi Yueli Hair Straightener,https://kdmarket.ru/catalog/gadgets_beauty/xiaomi_yueli_hair_straightener__black,https://kdmarket.ru/upload/iblock/ae7/ae7e3eff261914e7a4048f9346362a6b.PNG,3 490 ₽,.gadgets_beauty_img_preview/ae7e3eff261914e7a4048f9346362a6b.PNG
