subcategory_name,item_title,item_page_link,preview_img_link,price,preview_local_link
УВЛАЖНИТЕЛЬ ВОЗДУХА,Xiaomi Deerma DEM-F502,https://kdmarket.ru/catalog/gadgets_home/xiaomi_deerma_dem_f502__white,https://kdmarket.ru/upload/iblock/337/337d29475f3b31528f37cdd4b6b4f2b2.JPG,3 290 ₽,.gadgets_home_img_preview/337d29475f3b31528f37cdd4b6b4f2b2.JPG
УВЛАЖНИТЕЛЬ ВОЗДУХА,Xiaomi Deerma DEM-F602,https://kdmarket.ru/catalog/gadgets_home/xiaomi_deerma_dem_f602__white,https://kdmarket.ru/upload/iblock/cdc/cdc88b99982c67d4e089aa576f788744.JPG,3 390 ₽,.gadgets_home_img_preview/cdc88b99982c67d4e089aa576f788744.JPG
УВЛАЖНИТЕЛЬ ВОЗДУХА,Xiaomi Deerma DEM-F501,https://kdmarket.ru/catalog/gadgets_home/xiaomi_deerma_dem_f501__white,https://kdmarket.ru/upload/iblock/727/72712b39e86938d245f7b9a12afc52a1.JPG,3 490 ₽,.gadgets_home_img_preview/72712b39e86938d245f7b9a12afc52a1.JPG
УВЛАЖНИТЕЛЬ ВОЗДУХА,Deerma DEM-F428,https://kdmarket.ru/catalog/gadgets_home/deerma_dem_f428__white,https://kdmarket.ru/upload/iblock/779/7796c30f4b2e11bec15b4945ff6807bb.PNG,3 790 ₽,.gadgets_home_img_preview/7796c30f4b2e11bec15b4945ff6807bb.PNG
УВЛАЖНИТЕЛЬ ВОЗДУХА,Xiaomi Deerma DEM-F600,https://kdmarket.ru/catalog/gadgets_home/xiaomi_deerma_dem_f600__white,https://kdmarket.ru/upload/iblock/08a/08ac6a693b505d184fef9864a9102459.PNG,3 390 ₽,.gadgets_home_img_preview/08ac6a693b505d184fef9864a9102459.PNG
ОЧИСТИТЕЛЬ ВОЗДУХА,Xiaomi Air Smart Purifier 4 Pro AC-M15-SC Global,https://kdmarket.ru/catalog/gadgets_home/xiaomi_air_smart_purifier_4_pro_ac_m15_sc_global__white,https://kdmarket.ru/upload/iblock/24f/24fbeffc0d5b540ed194eb08fdc72f8c.JPG,21 490 ₽,.gadgets_home_img_preview/24fbeffc0d5b540ed194eb08fdc72f8c.JPG
ОЧИСТИТЕЛЬ ВОЗДУХА,Xiaomi Air Smart Purifier 4 AC-M16-SC Global,https://kdmarket.ru/catalog/gadgets_home/xiaomi_air_smart_purifier_4_ac_m16_sc_global__white,https://kdmarket.ru/upload/iblock/5c5/5c552ed127511236a5afc17abd65af5b.JPG,14 490 ₽,.gadgets_home_img_preview/5c552ed127511236a5afc17abd65af5b.JPG
ОЧИСТИТЕЛЬ ВОЗДУХА,Xiaomi Smart Air Purifier 4 Lite EU AC-M17-SC (BHR5274GL),https://kdmarket.ru/catalog/gadgets_home/xiaomi_smart_air_purifier_4_lite_eu_ac_m17_sc_bhr5274gl__white,https://kdmarket.ru/upload/iblock/d76/d76acd43a4cdf83fc46554d9a368706c.JPG,16 490 ₽,.gadgets_home_img_preview/d76acd43a4cdf83fc46554d9a368706c.JPG
ОЧИСТИТЕЛЬ ВОЗДУХА,Xiaomi Mi Air Purifier 3H,https://kdmarket.ru/catalog/gadgets_home/xiaomi_mi_air_purifier_3h__white,https://kdmarket.ru/upload/iblock/a32/a32f9271804010b4df58d1c0b197e0c0.JPG,11 990 ₽,.gadgets_home_img_preview/a32f9271804010b4df58d1c0b197e0c0.JPG
ОТПАРИВАТЕЛЬ,Xiaomi GT-313,https://kdmarket.ru/catalog/gadgets_home/xiaomi_gt_313__pink,https://kdmarket.ru/upload/iblock/b40/b40f56856bcb4e5a56ee1e322a132507.jpg,2 990 ₽,.gadgets_home_img_preview/b40f56856bcb4e5a56ee1e322a132507.jpg
ОТПАРИВАТЕЛЬ,Xiaomi Lofans (Our Family) Steam Brush GT-306RW,https://kdmarket.ru/catalog/gadgets_home/xiaomi_lofans_our_family_steam_brush_gt_306rw__white,https://kdmarket.ru/upload/iblock/1e5/1e538ede441d15756992d4b279ad3149.jpg,3 290 ₽,.gadgets_home_img_preview/1e538ede441d15756992d4b279ad3149.jpg
ОТПАРИВАТЕЛЬ,Xiaomi Deerma DEM-HS200,https://kdmarket.ru/catalog/gadgets_home/xiaomi_deerma_dem_hs200__white,https://kdmarket.ru/upload/iblock/899/899e1296920067d1e09b76c6ecfc9863.PNG,4 590 ₽,.gadgets_home_img_preview/899e1296920067d1e09b76c6ecfc9863.PNG
ОТПАРИВАТЕЛЬ,Xiaomi Deerma DEM-HS007,https://kdmarket.ru/catalog/gadgets_home/xiaomi_deerma_dem_hs007__white,https://kdmarket.ru/upload/iblock/f82/f82f82ddb0fac9f820aebe9a476c607f.PNG,2 990 ₽,.gadgets_home_img_preview/f82f82ddb0fac9f820aebe9a476c607f.PNG
