subcategory_name,item_title,item_page_link,preview_img_link,price,preview_local_link
ШТОПОР,Xiaomi Huo Hou Electric Wine Opener,https://kdmarket.ru/catalog/gadgets_kitchen/xiaomi_huo_hou_electric_wine_opener__blue,https://kdmarket.ru/upload/iblock/762/762d9f46aed4d60c572728f55b378aa0.JPG,2 790 ₽,.gadgets_kitchen_img_preview/762d9f46aed4d60c572728f55b378aa0.JPG
ШТОПОР,Circle Joy Wine Opener,https://kdmarket.ru/catalog/gadgets_kitchen/circle_joy_wine_opener__black,https://kdmarket.ru/upload/iblock/1ae/1ae0ff8d948424a45464ef824c1a75fa.jpg,3 490 ₽,.gadgets_kitchen_img_preview/1ae0ff8d948424a45464ef824c1a75fa.jpg
ШТОПОР,Xiaomi Circle Joy Mini Electric Wine Opener,https://kdmarket.ru/catalog/gadgets_kitchen/xiaomi_circle_joy_mini_electric_wine_opener__black,https://kdmarket.ru/upload/iblock/393/393a54f35934fce3e35847cbbf1875ff.PNG,2 790 ₽,.gadgets_kitchen_img_preview/393a54f35934fce3e35847cbbf1875ff.PNG
ШТОПОР,Huo Hou Electric Wine Bottle Opener электрический,https://kdmarket.ru/catalog/gadgets_kitchen/huo_hou_electric_wine_bottle_opener_elektricheskiy__black,https://kdmarket.ru/upload/iblock/b56/b56948af9dc029f02de02f396f59d3af.jpg,2 790 ₽,.gadgets_kitchen_img_preview/b56948af9dc029f02de02f396f59d3af.jpg
ЧАЙНИК,Xiaomi Mi Kettle,https://kdmarket.ru/catalog/gadgets_kitchen/xiaomi_mi_kettle__white,https://kdmarket.ru/upload/iblock/570/5703218664f0f41999ca57bfcf3738b8.jpg,3 190 ₽,.gadgets_kitchen_img_preview/5703218664f0f41999ca57bfcf3738b8.jpg
ЧАЙНИК,Xiaomi Mi Smart Kettle Pro,https://kdmarket.ru/catalog/gadgets_kitchen/xiaomi_mi_smart_kettle_pro__white,https://kdmarket.ru/upload/iblock/e82/e82f5e35dbb9a72cc61545cfd22971b6.PNG,3 990 ₽,.gadgets_kitchen_img_preview/e82f5e35dbb9a72cc61545cfd22971b6.PNG
ЧАЙНИК,Xiaomi Viomi Mechanical Kettle,https://kdmarket.ru/catalog/gadgets_kitchen/xiaomi_viomi_mechanical_kettle__black,https://kdmarket.ru/upload/iblock/4d1/4d10a3358f986d825bf9e672009607f7.jpg,2 390 ₽,.gadgets_kitchen_img_preview/4d10a3358f986d825bf9e672009607f7.jpg
ЧАЙНИК,Xiaomi Viomi Smart Kettle Bluetooth,https://kdmarket.ru/catalog/gadgets_kitchen/xiaomi_viomi_smart_kettle_bluetooth__black,https://kdmarket.ru/upload/iblock/19a/19a269f44121ecb447a1944947576493.png,4 290 ₽,.gadgets_kitchen_img_preview/19a269f44121ecb447a1944947576493.png
ПРОБКА,Xiaomi Circle Joy Champagne Stopper,https://kdmarket.ru/catalog/gadgets_kitchen/xiaomi_circle_joy_champagne_stopper__silver,https://kdmarket.ru/upload/iblock/68f/68ff331269e6b52dda3861b0266f32fb.PNG,990 ₽,.gadgets_kitchen_img_preview/68ff331269e6b52dda3861b0266f32fb.PNG
АЭРАТОР,Xiaomi Huo Hou Wine Aerator,https://kdmarket.ru/catalog/gadgets_kitchen/aerator_dlya_vina_xiaomi_huo_hou_wine_aerator__black,https://kdmarket.ru/upload/iblock/c0d/c0d2b494444409a0e94984d74cf93792.JPG,1 190 ₽,.gadgets_kitchen_img_preview/c0d2b494444409a0e94984d74cf93792.JPG
АЭРАТОР ДЛЯ ВИНА,Xiaomi Vinaera Classic Electric Wine Aerator,https://kdmarket.ru/catalog/gadgets_kitchen/xiaomi_vinaera_classic_electric_wine_aerator__black,https://kdmarket.ru/upload/iblock/208/20812dfd3029ad52bf631406263a6fad.png,5 990 ₽,.gadgets_kitchen_img_preview/20812dfd3029ad52bf631406263a6fad.png
БЛЕНДЕР,Deerma Deerma Portable Electric Juicer DEM-NU30,https://kdmarket.ru/catalog/gadgets_kitchen/deerma_deerma_portable_electric_juicer_dem_nu30__white,https://kdmarket.ru/upload/iblock/057/0578df52268bb1c084fad85f062f3014.jpg,2 490 ₽,.gadgets_kitchen_img_preview/0578df52268bb1c084fad85f062f3014.jpg
