subcategory_name,item_title,item_page_link,preview_img_link,price,preview_local_link
ИГРОВАЯ ПРИСТАВКА,Sony PlayStation 5 825 Гб,https://kdmarket.ru/catalog/playstations/sony_playstation_5_825_gb__whiteeeee,https://kdmarket.ru/upload/iblock/018/018e157007febf6d67339db32fb5d712.jpg,49 490 ₽,.playstations_img_preview/018e157007febf6d67339db32fb5d712.jpg
ИГРОВАЯ ПРИСТАВКА,Sony PlayStation 5 825 Гб + God of War: Ragnarok,https://kdmarket.ru/catalog/playstations/sony_playstation_5_825_gb_god_of_war_ragnarok__whiteee,https://kdmarket.ru/upload/iblock/42d/42d10d9f9d94540275e5c63f69218709.jpeg,53 990 ₽,.playstations_img_preview/42d10d9f9d94540275e5c63f69218709.jpeg
ИГРОВАЯ ПРИСТАВКА,Microsoft Xbox Series S 512GB,https://kdmarket.ru/catalog/playstations/microsoft_xbox_series_s_512gb__white,https://kdmarket.ru/upload/iblock/af5/af566235b70a1b9d7deaf56bd7f76493.png,31 990 ₽,.playstations_img_preview/af566235b70a1b9d7deaf56bd7f76493.png
ИГРОВАЯ ПРИСТАВКА,Microsoft Xbox Series X 1TB,https://kdmarket.ru/catalog/playstations/microsoft_xbox_series_x_1_tb__black,https://kdmarket.ru/upload/iblock/33d/33d9fef0fa390576692a94645a7eb4d5.jpg,49 990 ₽,.playstations_img_preview/33d9fef0fa390576692a94645a7eb4d5.jpg
ИГРОВАЯ ПРИСТАВКА,Sony PlayStation 5 825 Гб + FIFA 2023,https://kdmarket.ru/catalog/playstations/sony_playstation_5_825_gb_fifa_2023__white,https://kdmarket.ru/upload/iblock/4a9/4a936ed005ad27e45c7092c2f108e2ff.jpg,56 990 ₽,.playstations_img_preview/4a936ed005ad27e45c7092c2f108e2ff.jpg
ИГРОВАЯ ПРИСТАВКА,Sony PlayStation 5 Digital Edition 825 ГБ,https://kdmarket.ru/catalog/playstations/sony_playstation_5_digital_edition_825_gb__white,https://kdmarket.ru/upload/iblock/37b/37bf3c073d3cf3d8e2456c272c103a71.jpg,69 990 ₽,.playstations_img_preview/37bf3c073d3cf3d8e2456c272c103a71.jpg
SONY DUALSENSE,Sony DualSense Wireless Controller Edge,https://kdmarket.ru/catalog/playstations/sony_dualsense_wireless_controller_edge__white,https://kdmarket.ru/upload/iblock/f08/f0803d88e04067ad185336107d1830d3.JPG,21 990 ₽,.playstations_img_preview/f0803d88e04067ad185336107d1830d3.JPG
SONY DUALSENSE,Sony DualSense Wireless Controller,https://kdmarket.ru/catalog/playstations/sony_dualsense_wireless_controller__black,https://kdmarket.ru/upload/iblock/852/8522abdf501c59f534937607094e4081.JPG,6 490 ₽,.playstations_img_preview/8522abdf501c59f534937607094e4081.JPG
БЕСПРОВОДНАЯ ГАРНИТУРА,Беспроводная компьютерная гарнитура Sony PULSE 3D,https://kdmarket.ru/catalog/playstations/besprovodnaya_kompyuternaya_garnitura_sony_pulse_3d__black,https://kdmarket.ru/upload/iblock/3a0/3a0fe5c7a22f06d98aaf927bb3aec5b5.JPG,8 990 ₽,.playstations_img_preview/3a0fe5c7a22f06d98aaf927bb3aec5b5.JPG
ЗАРЯДНАЯ СТАНЦИЯ,Зарядная станция Sony DualSense Charging Station для PS5 на 2 геймпада,https://kdmarket.ru/catalog/playstations/zaryadnaya_stantsiya_sony_dualsense_charging_station_dlya_ps5_na_2_geympada__black,https://kdmarket.ru/upload/iblock/96f/96fa403a4abc32b7b5839711328d29d2.JPG,3 690 ₽,.playstations_img_preview/96fa403a4abc32b7b5839711328d29d2.JPG
