subcategory_name,item_title,item_page_link,preview_img_link,price,preview_local_link
АКУСТИКА,JBL Partybox 110,https://kdmarket.ru/catalog/sound/jbl_partybox_110__black,https://kdmarket.ru/upload/iblock/e4c/e4cc57570ce468f8c0384d38c46551c9.JPG,43 990 ₽,.sound_img_preview/e4cc57570ce468f8c0384d38c46551c9.JPG
АКУСТИКА,Harman Kardon Citation ONE MKII,https://kdmarket.ru/catalog/sound/harman_kardon_citation_one_mkii__greyyyy,https://kdmarket.ru/upload/iblock/299/2997c4187d3ef55726ac82b3c3e4df64.png,10 990 ₽,.sound_img_preview/2997c4187d3ef55726ac82b3c3e4df64.png
АКУСТИКА,Marshall Stanmore III 80 Вт,https://kdmarket.ru/catalog/sound/marshall_stanmore_iii_80_vt__black,https://kdmarket.ru/upload/iblock/129/129b21073fd45360eebd4ccbea2d4eb5.JPG,35 490 ₽,.sound_img_preview/129b21073fd45360eebd4ccbea2d4eb5.JPG
АКУСТИКА,Marshall Tufton,https://kdmarket.ru/catalog/sound/marshall_tufton__blackk,https://kdmarket.ru/upload/iblock/b10/b102bf295f30af1512351e610645d984.jpg,45 990 ₽,.sound_img_preview/b102bf295f30af1512351e610645d984.jpg
АКУСТИКА,Marshall Stanmore II 80 Вт,https://kdmarket.ru/catalog/sound/marshall_stanmore_ii_80_vt__black,https://kdmarket.ru/upload/iblock/c1e/c1e6d477239237263b18b91b6d9a2889.jpg,32 490 ₽,.sound_img_preview/c1e6d477239237263b18b91b6d9a2889.jpg
АКУСТИКА,JBL GO Essential,https://kdmarket.ru/catalog/sound/jbl_go_essential__black,https://kdmarket.ru/upload/iblock/300/300c95bb6e96424569e38e8a3af0a206.PNG,3 490 ₽,.sound_img_preview/300c95bb6e96424569e38e8a3af0a206.PNG
АКУСТИКА,JBL GO 3,https://kdmarket.ru/catalog/sound/jbl_go_3__red,https://kdmarket.ru/upload/iblock/c99/c998b0fbdf4c908d60935bfb4113bd08.JPG,3 790 ₽,.sound_img_preview/c998b0fbdf4c908d60935bfb4113bd08.JPG
АКУСТИКА,JBL Charge 5,https://kdmarket.ru/catalog/sound/jbl_charge_5__camouflage,https://kdmarket.ru/upload/iblock/990/9906ccbb0fbdb5de05f15aa429b65044.jpg,14 490 ₽,.sound_img_preview/9906ccbb0fbdb5de05f15aa429b65044.jpg
АКУСТИКА,SONY SRS-XE300,https://kdmarket.ru/catalog/sound/sony_srs_xe300__black,https://kdmarket.ru/upload/iblock/2fc/2fc4bbaa990b0dcc0da206ac9590955e.JPG,15 490 ₽,.sound_img_preview/2fc4bbaa990b0dcc0da206ac9590955e.JPG
АКУСТИКА,SONY SRS-XE200,https://kdmarket.ru/catalog/sound/sony_srs_xe200__orange,https://kdmarket.ru/upload/iblock/7ea/7eac952676f8931fedf3211c507f9b4c.JPG,9 290 ₽,.sound_img_preview/7eac952676f8931fedf3211c507f9b4c.JPG
АКУСТИКА,JBL Flip 6,https://kdmarket.ru/catalog/sound/jbl_flip_6__white,https://kdmarket.ru/upload/iblock/f1f/f1f583ad3f386dfada72fac002166c8d.JPG,10 290 ₽,.sound_img_preview/f1f583ad3f386dfada72fac002166c8d.JPG
АКУСТИКА,JBL Flip 5,https://kdmarket.ru/catalog/sound/jbl_flip_5__squard,https://kdmarket.ru/upload/iblock/42a/42a65d6630ba9bb52cdf616dc926fdf7.jpg,7 990 ₽,.sound_img_preview/42a65d6630ba9bb52cdf616dc926fdf7.jpg
АКУСТИКА,JBL Clip 4,https://kdmarket.ru/catalog/sound/jbl_clip_4__red,https://kdmarket.ru/upload/iblock/5e5/5e56574fd8756c1afe9e55612d94a2a9.JPG,4 790 ₽,.sound_img_preview/5e56574fd8756c1afe9e55612d94a2a9.JPG
АКУСТИКА,Marshall Kilburn II,https://kdmarket.ru/catalog/sound/marshall_kilburn_ii__blackkk,https://kdmarket.ru/upload/iblock/173/173e8a45d14ffd9a32c3961f9adbdeff.JPG,28 490 ₽,.sound_img_preview/173e8a45d14ffd9a32c3961f9adbdeff.JPG
АКУСТИКА,"Marshall Willen, 10 Вт",https://kdmarket.ru/catalog/sound/marshall_willen_10_vt__beige,https://kdmarket.ru/upload/iblock/5ed/5edc0d50d7f5e3f65a2db0b7eacecbda.JPG,10 290 ₽,.sound_img_preview/5edc0d50d7f5e3f65a2db0b7eacecbda.JPG
АКУСТИКА,"Marshall Acton III, 60 Вт",https://kdmarket.ru/catalog/sound/marshall_acton_iii_60_vt__black,https://kdmarket.ru/upload/iblock/e55/e5568b39b1cd0a966868a99db15d2bf8.JPG,27 490 ₽,.sound_img_preview/e5568b39b1cd0a966868a99db15d2bf8.JPG
АКУСТИКА,"Marshall Acton II, 60 Вт",https://kdmarket.ru/catalog/sound/marshall_acton_ii_60_vt__white,https://kdmarket.ru/upload/iblock/4b1/4b1f14929eefa4e28177863c981a67c3.jpg,22 490 ₽,.sound_img_preview/4b1f14929eefa4e28177863c981a67c3.jpg
АКУСТИКА,"Marshall Emberton, 20 Вт",https://kdmarket.ru/catalog/sound/marshall_emberton_20_vt__blackgold,https://kdmarket.ru/upload/iblock/3d9/3d91701978dcd5f190ce105e28f16c76.jpg,14 990 ₽,.sound_img_preview/3d91701978dcd5f190ce105e28f16c76.jpg
АКУСТИКА,JBL Boombox 3,https://kdmarket.ru/catalog/sound/jbl_boombox_3__black,https://kdmarket.ru/upload/iblock/006/0067839d5fc56a402d61e9ecf167b24d.JPG,49 990 ₽,.sound_img_preview/0067839d5fc56a402d61e9ecf167b24d.JPG
АКУСТИКА,JBL Boombox 2,https://kdmarket.ru/catalog/sound/jbl_boombox_2__black,https://kdmarket.ru/upload/iblock/7f2/7f238eabdb80fa516adecee6cd516892.PNG,37 990 ₽,.sound_img_preview/7f238eabdb80fa516adecee6cd516892.PNG
АКУСТИКА,Harman/Kardon Onyx Studio 7,https://kdmarket.ru/catalog/sound/harman_kardon_onyx_studio_7__black,https://kdmarket.ru/upload/iblock/6c2/6c2c14f070c7b5a06461bfa02a4b721f.JPG,17 490 ₽,.sound_img_preview/6c2c14f070c7b5a06461bfa02a4b721f.JPG
АКУСТИКА,JBL Xtreme 3,https://kdmarket.ru/catalog/sound/jbl_xtreme_3__sqard,https://kdmarket.ru/upload/iblock/a7f/a7fc0b1cf983157093f13771f1ae9a6a.png,25 490 ₽,.sound_img_preview/a7fc0b1cf983157093f13771f1ae9a6a.png
АКУСТИКА,JBL Pulse 4,https://kdmarket.ru/catalog/sound/jbl_pulse_4__white,https://kdmarket.ru/upload/iblock/517/51750db6d0faee2b01b3a2ea05e93365.JPG,18 490 ₽,.sound_img_preview/51750db6d0faee2b01b3a2ea05e93365.JPG
