subcategory_name,item_title,item_page_link,preview_img_link,price,preview_local_link
APPLE,Apple iPad Pro 11 2022 512Gb Wi-Fi + Cellular,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_11_2022_512gb_wi_fi_cellular__silver,https://kdmarket.ru/upload/iblock/61f/61feee7d3f36f9b98cec8e862c31ff13.jpg,124 990 ₽,.tablets_img_preview/61feee7d3f36f9b98cec8e862c31ff13.jpg
APPLE,Apple iPad Pro 11 2022 256Gb Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_11_2022_256gb_wi_fi__silver,https://kdmarket.ru/upload/iblock/8f9/8f951968aad647c3e4e51b5a6de8287a.jpg,89 990 ₽,.tablets_img_preview/8f951968aad647c3e4e51b5a6de8287a.jpg
APPLE,Apple iPad (2022) 64 ГБ Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_2022_64_gb_wi_fi__skyblue,https://kdmarket.ru/upload/iblock/465/465a18fbf71a1adbfefe6ee9b10863e2.jpg,44 990 ₽,.tablets_img_preview/465a18fbf71a1adbfefe6ee9b10863e2.jpg
APPLE,Apple iPad Air (2022) 256 ГБ Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_air_2022_256_gb_wi_fi__purple,https://kdmarket.ru/upload/iblock/b6a/b6a6355195ee237fd8a96c5a8564dbf1.JPG,73 490 ₽,.tablets_img_preview/b6a6355195ee237fd8a96c5a8564dbf1.JPG
APPLE,Apple iPad mini (2021) 64Gb Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_mini_2021_64gb_wi_fi__silver,https://kdmarket.ru/upload/iblock/ebc/ebc9439912040211b355550189e92a19.jpg,43 990 ₽,.tablets_img_preview/ebc9439912040211b355550189e92a19.jpg
APPLE,Apple iPad (2021) 64Gb Wi‑Fi + Cellular,https://kdmarket.ru/catalog/tablets/apple_ipad_2021_64gb_wi_fi_cellular__grey,https://kdmarket.ru/upload/iblock/257/2572569c912fdd8bf902ad13b5ab4a28.PNG,39 490 ₽,.tablets_img_preview/2572569c912fdd8bf902ad13b5ab4a28.PNG
APPLE,Apple iPad (2021) 256Gb Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_2021_256gb_wi_fi__silver,https://kdmarket.ru/upload/iblock/3bb/3bba0447b9e2976299254ec43ccd204b.PNG,45 990 ₽,.tablets_img_preview/3bba0447b9e2976299254ec43ccd204b.PNG
APPLE,Apple iPad (2021) 64Gb Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_2021_64gb_wi_fi__grey,https://kdmarket.ru/upload/iblock/059/059e795e9276b9906bc1fdb3c1e36c26.PNG,30 990 ₽,.tablets_img_preview/059e795e9276b9906bc1fdb3c1e36c26.PNG
APPLE,Apple iPad Pro 12.9 2022 128Gb Wi-Fi + Cellular ,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_12_9_2022_128gb_wi_fi_cellular___silver,https://kdmarket.ru/upload/iblock/10d/10d439e60aafa8cce75c14ebd49b862e.jpg,101 990 ₽,.tablets_img_preview/10d439e60aafa8cce75c14ebd49b862e.jpg
APPLE,Apple iPad Pro 11 2022 2TB Wi-Fi + Cellular,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_11_2022_2tb_wi_fi_cellular__silver,https://kdmarket.ru/upload/iblock/bf0/bf04b39921ce859349b02d0c2d727d51.png,149 990 ₽,.tablets_img_preview/bf04b39921ce859349b02d0c2d727d51.png
APPLE,Apple iPad mini (2021) 256Gb Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_mini_2021_256gb_wi_fi__silver,https://kdmarket.ru/upload/iblock/8ec/8ecb378a3528b803b59b947a05e25df1.PNG,59 990 ₽,.tablets_img_preview/8ecb378a3528b803b59b947a05e25df1.PNG
APPLE,Apple iPad Pro 11 2022 128Gb Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_11_2022_128gb_wi_fi__spacegray,https://kdmarket.ru/upload/iblock/9bc/9bc3ec5291cb8102745d4b01713c4230.jpg,79 990 ₽,.tablets_img_preview/9bc3ec5291cb8102745d4b01713c4230.jpg
APPLE,Apple iPad Air (2022) 64 ГБ Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_air_2022_64_gb_wi_fi__silver,https://kdmarket.ru/upload/iblock/f4e/f4e7d34e78f2127d51283136bf38403b.JPG,57 490 ₽,.tablets_img_preview/f4e7d34e78f2127d51283136bf38403b.JPG
APPLE,Apple iPad (2022) 256 ГБ LTE,https://kdmarket.ru/catalog/tablets/apple_ipad_2022_256_gb_lte__skyblue,https://kdmarket.ru/upload/iblock/37f/37fde19ff12656c107beb21b870fb0e3.png,69 990 ₽,.tablets_img_preview/37fde19ff12656c107beb21b870fb0e3.png
APPLE,Apple iPad (2022) 64 ГБ LTE,https://kdmarket.ru/catalog/tablets/apple_ipad_2022_64_gb_lte__silver,https://kdmarket.ru/upload/iblock/44a/44ae0f964191adf5a31bde5f7ab25ad2.png,46 990 ₽,.tablets_img_preview/44ae0f964191adf5a31bde5f7ab25ad2.png
APPLE,Apple iPad Air (2022) 64 ГБ LTE,https://kdmarket.ru/catalog/tablets/apple_ipad_air_2022_64_gb_lte__pink,https://kdmarket.ru/upload/iblock/963/9635f4ae0d7399a18d0946adc44cc525.png,66 990 ₽,.tablets_img_preview/9635f4ae0d7399a18d0946adc44cc525.png
APPLE,Apple iPad Pro 12.9 2022 512Gb Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_12_9_2022_512gb_wi_fi__silver,https://kdmarket.ru/upload/iblock/403/403f71a69e7df917ce128e6cacef8191.jpg,114 990 ₽,.tablets_img_preview/403f71a69e7df917ce128e6cacef8191.jpg
APPLE,Apple iPad Pro 12.9 2022 2TB Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_12_9_2022_2tb_wi_fi__silver,https://kdmarket.ru/upload/iblock/eab/eabe336a1e89b2933e96291fd041df3b.jpg,169 990 ₽,.tablets_img_preview/eabe336a1e89b2933e96291fd041df3b.jpg
APPLE,Apple iPad Pro 12.9 2022 1TB Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_12_9_2022_1tb_wi_fi__silver,https://kdmarket.ru/upload/iblock/b66/b669b5c71afad6b0fbae90b9702be9ab.jpg,139 990 ₽,.tablets_img_preview/b669b5c71afad6b0fbae90b9702be9ab.jpg
APPLE,Apple iPad Pro 11 2022 1Tb Wi-Fi,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_11_2022_1tb_wi_fi__spacegray,https://kdmarket.ru/upload/iblock/b63/b639cf8a055633fe81287ca18628408b.png,144 990 ₽,.tablets_img_preview/b639cf8a055633fe81287ca18628408b.png
APPLE,Apple iPad Air (2022) 256 ГБ LTE,https://kdmarket.ru/catalog/tablets/apple_ipad_air_2022_256_gb_lte__pink,https://kdmarket.ru/upload/iblock/15c/15c45fbde6b5d10d8ef473f0f468641f.jpg,78 990 ₽,.tablets_img_preview/15c45fbde6b5d10d8ef473f0f468641f.jpg
APPLE,Apple iPad Pro 12.9 2022 512Gb Wi-Fi + Cellular,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_12_9_2022_512gb_wi_fi_cellular__spacegray,https://kdmarket.ru/upload/iblock/8dd/8dd7cea407acdafcb90c2900ea64d2cb.jpg,118 490 ₽,.tablets_img_preview/8dd7cea407acdafcb90c2900ea64d2cb.jpg
APPLE,Apple iPad Pro 11 2022 256Gb Wi-Fi + Cellular,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_11_2022_256gb_wi_fi_cellular__spacegray,https://kdmarket.ru/upload/iblock/19a/19a4d1460dc7b5c3f3c5ccc908110a3a.jpg,109 990 ₽,.tablets_img_preview/19a4d1460dc7b5c3f3c5ccc908110a3a.jpg
APPLE,Apple iPad Pro 11 2022 1TB Wi-Fi + Cellular,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_11_2022_1tb_wi_fi_cellular__spacegray,https://kdmarket.ru/upload/iblock/c17/c1748df8385bfb679b347cf3cedb0606.jpg,129 990 ₽,.tablets_img_preview/c1748df8385bfb679b347cf3cedb0606.jpg
APPLE,Apple iPad Pro 11 2022 128Gb Wi-Fi + Cellular,https://kdmarket.ru/catalog/tablets/apple_ipad_pro_11_2022_128gb_wi_fi_cellular__silver,https://kdmarket.ru/upload/iblock/5df/5dfa1abf382e1c618e1aad51393f3dff.jpg,89 990 ₽,.tablets_img_preview/5dfa1abf382e1c618e1aad51393f3dff.jpg
