subcategory_name,item_title,item_page_link,preview_img_link,price,preview_local_link
СМАРТФОН,Xiaomi 12T 8/128 ГБ,https://kdmarket.ru/catalog/xiaomi/xiaomi_12t_8_128_gb__blue,https://kdmarket.ru/upload/iblock/7b0/7b06574490db22c4acf86bc893d7c6e0.png,33 990 ₽,.xiaomi_img_preview/7b06574490db22c4acf86bc893d7c6e0.png
СМАРТФОН,Xiaomi Redmi Note 12 Pro 4G 8/256GB,https://kdmarket.ru/catalog/xiaomi/xiaomi_redmi_note_12_pro_8_256gb__grey,https://kdmarket.ru/upload/iblock/759/759036fccced6836167b8bbd1b2a1595.JPG,26 990 ₽,.xiaomi_img_preview/759036fccced6836167b8bbd1b2a1595.JPG
СМАРТФОН,Xiaomi Redmi Note 12 4/128GB,https://kdmarket.ru/catalog/xiaomi/xiaomi_redmi_note_12_4_128gb__green,https://kdmarket.ru/upload/iblock/6a2/6a229af74138371a320b9063b2fd38e5.JPG,15 990 ₽,.xiaomi_img_preview/6a229af74138371a320b9063b2fd38e5.JPG
СМАРТФОН,Xiaomi Redmi Note 12 6/128GB,https://kdmarket.ru/catalog/xiaomi/xiaomi_redmi_note_12_6_128gb__black,https://kdmarket.ru/upload/iblock/b61/b6177e81c98c0ed7e220a2209ebfb578.png,17 990 ₽,.xiaomi_img_preview/b6177e81c98c0ed7e220a2209ebfb578.png
СМАРТФОН,Xiaomi Redmi Note 12 Pro+ 8/256GB,https://kdmarket.ru/catalog/xiaomi/xiaomi_redmi_note_12_pro_plus_8_256gb__blue,https://kdmarket.ru/upload/iblock/794/794e1bf7ec95511378e6f03947ba28f8.JPG,33 990 ₽,.xiaomi_img_preview/794e1bf7ec95511378e6f03947ba28f8.JPG
СМАРТФОН,Xiaomi Redmi 12C 4/128 ГБ,https://kdmarket.ru/catalog/xiaomi/xiaomi_redmi_12c_4_128_gb__blue,https://kdmarket.ru/upload/iblock/cdb/cdb409f6e6d5d0ca3682e64d566ceda3.JPG,10 990 ₽,.xiaomi_img_preview/cdb409f6e6d5d0ca3682e64d566ceda3.JPG
СМАРТФОН,Xiaomi Redmi 10C NFC 4/128 ГБ,https://kdmarket.ru/catalog/xiaomi/xiaomi_redmi_10c_nfc_4_128_gb__grey,https://kdmarket.ru/upload/iblock/c02/c02704eac3b05fce46cf6d831c7e9655.JPG,10 990 ₽,.xiaomi_img_preview/c02704eac3b05fce46cf6d831c7e9655.JPG
СМАРТФОН,Xiaomi 13 Lite 8/256 ГБ,https://kdmarket.ru/catalog/xiaomi/xiaomi_13_lite_8_256_gb__black,https://kdmarket.ru/upload/iblock/fa4/fa4f671be3d341862193352dee01ebb7.JPG,35 990 ₽,.xiaomi_img_preview/fa4f671be3d341862193352dee01ebb7.JPG
СМАРТФОН,Xiaomi 12T 8/256 ГБ,https://kdmarket.ru/catalog/xiaomi/xiaomi_12t_8_256_gb__blue,https://kdmarket.ru/upload/iblock/f7f/f7f94c1d05af31417f60b74cdf4a685c.JPG,37 990 ₽,.xiaomi_img_preview/f7f94c1d05af31417f60b74cdf4a685c.JPG
СМАРТФОН,Xiaomi 12X 8/256 ГБ,https://kdmarket.ru/catalog/xiaomi/xiaomi_12x_8_256_gb__blue,https://kdmarket.ru/upload/iblock/e2d/e2d038ff751ec7215586be1e5c5a07eb.JPG,39 990 ₽,.xiaomi_img_preview/e2d038ff751ec7215586be1e5c5a07eb.JPG
